,voted
46986,0
13715,0
34300,1
39377,1
39073,1
13087,1
53999,1
30075,1
23536,1
47433,1
2052,1
32336,0
27433,1
11044,0
4020,0
29164,0
24161,1
7593,1
5117,0
45847,1
2151,0
22631,0
36224,1
24058,1
18790,1
16590,1
17780,1
47813,0
47657,1
19747,1
14912,0
53113,1
25075,1
12355,1
35778,1
26862,1
7311,0
37308,0
27468,0
383,1
20763,0
38079,0
1559,0
38565,1
3419,0
54712,0
53438,0
31946,1
17775,1
48328,1
40329,0
13010,1
29045,1
49718,1
39661,1
39992,1
47709,1
40711,1
30302,0
12018,1
35646,1
9750,0
7834,0
998,1
51369,0
8200,1
15978,0
13103,1
26510,0
6122,1
24795,0
19302,1
11133,1
23245,1
2033,1
11417,0
49809,1
6245,1
39281,1
49847,0
54039,1
39025,0
3210,1
10083,1
3066,1
38286,0
47668,0
12003,1
13848,0
32991,0
29809,0
25585,1
44770,1
31263,1
33413,0
28700,1
2817,1
1825,1
21067,1
7458,1
13798,1
1681,0
19889,0
28892,0
31315,0
42039,1
41572,0
3702,0
54057,1
1891,0
9085,1
48916,0
5998,0
9809,0
30901,0
35683,1
20182,1
6023,1
39736,1
11490,0
29756,0
24120,1
50006,1
51931,0
24847,0
49172,1
6708,0
51209,1
43953,0
23558,1
18970,1
21991,0
42133,0
47965,1
43293,1
2150,0
42569,1
36491,1
36106,0
23458,1
54612,0
5283,0
6546,1
42664,0
38274,1
34963,0
45449,1
14630,1
2109,1
22579,1
4820,0
39941,1
51443,0
16623,0
4340,1
27769,1
27761,1
44293,0
35007,1
21559,1
24009,0
18132,1
52094,1
1087,1
40089,1
36152,0
1962,0
9240,1
21153,0
49476,1
22123,1
51408,0
13625,0
8912,1
24822,0
50683,1
14851,1
41424,0
48406,0
13806,0
21152,1
1527,0
23598,0
21666,1
12980,0
44893,0
46790,0
5308,1
52306,1
29341,0
53728,0
2299,1
15470,0
6468,0
17911,1
6689,1
16945,0
37515,0
11298,1
25058,1
11459,1
17728,0
20367,0
37836,0
19078,1
6785,1
13995,1
37008,1
47405,0
43538,1
16777,0
36524,0
909,1
29833,0
23957,1
54028,0
20514,0
15599,1
23542,1
44221,1
5722,1
47274,1
6948,1
27705,0
18539,0
14010,1
38103,1
24310,0
480,1
36181,1
21361,0
9777,0
9448,1
46877,0
9963,1
44917,1
14747,0
3745,1
5467,1
21272,0
49164,0
35866,0
35320,1
43932,0
9554,1
13011,1
24825,1
24692,1
2229,1
6951,1
30809,0
45190,0
14378,1
31434,0
49464,1
25579,0
21425,0
14961,1
12064,1
23053,1
25753,1
52324,1
38867,0
50744,1
4056,0
1268,1
3245,1
46260,1
37203,0
38383,0
35064,0
5983,1
53548,0
26359,0
25554,0
11182,1
33742,0
21250,1
47235,0
32943,1
3604,0
3593,0
41991,0
44366,1
18898,1
1258,1
8102,0
33247,1
11132,1
46715,0
28956,0
14521,1
5314,0
13443,1
25634,1
53377,1
51748,0
19852,0
8226,0
32330,1
44691,1
4388,1
41057,1
30388,0
25728,1
31615,0
15148,1
39924,1
45499,0
34677,0
10122,0
35274,0
49742,0
9922,1
29670,1
21411,1
20323,1
41389,0
10920,1
28209,1
33615,0
36502,0
994,0
36967,0
11324,1
41548,0
23817,0
34978,0
11591,0
22231,0
22975,1
21079,0
44174,1
6347,0
19761,0
48818,0
12282,0
53951,0
43400,1
21744,0
14283,1
37548,1
27704,1
23206,0
53171,1
41117,1
32748,1
10335,1
51517,0
30176,0
52994,0
19510,0
7760,0
40871,1
34696,0
29445,0
79,1
809,1
26882,0
27242,1
3704,1
26668,0
42655,0
33218,1
32929,0
130,1
19492,1
48761,0
8350,1
9832,1
46828,0
46874,0
12377,1
45426,1
10725,1
12207,1
31655,0
44512,0
29882,0
31666,1
7056,0
38964,1
4593,1
3548,0
44354,1
9077,0
31821,1
54300,0
48117,0
51526,0
45614,1
26011,1
1437,0
54360,1
31079,0
7954,0
31214,1
32365,1
1433,1
6042,1
53878,1
35748,1
27091,1
30412,1
46977,1
52877,0
47623,1
21774,0
51805,1
19,1
15193,0
5420,1
52393,1
1399,1
34843,1
37566,0
46031,1
50532,1
5342,1
12241,1
1190,1
25368,1
23114,0
52748,0
37383,0
5930,0
51885,1
5761,1
13322,1
16992,0
26176,0
7215,0
37335,1
26604,1
5468,1
33143,1
43189,1
39778,1
54479,1
37856,1
39192,0
21505,0
52469,1
22410,0
29111,1
23963,0
2925,0
42495,0
24132,0
34309,0
24742,0
2807,1
48264,1
35229,1
17282,1
28051,0
7306,0
40240,1
22142,1
12569,1
12171,1
8257,0
15347,1
7339,0
26260,1
25624,0
5881,1
49336,1
12538,1
17998,0
25228,0
44911,0
22104,1
6005,1
14245,0
25059,1
43764,0
17000,0
43422,1
32455,1
49418,1
17765,1
35108,0
35113,1
22423,0
48832,0
12009,1
21331,0
7322,1
47207,1
43055,0
12774,1
16040,0
33836,0
39576,0
21149,1
49367,1
41734,0
35218,1
16755,0
38159,0
54397,1
28821,0
36496,1
35034,0
42962,1
12238,1
50890,1
20,0
21638,0
23380,1
14986,0
28098,0
54628,0
19723,0
6095,1
28303,0
21580,0
52245,1
36073,1
41094,0
34710,0
51158,0
21537,1
45040,0
23550,1
25097,0
33092,0
5772,0
48926,0
43512,1
3566,1
44122,0
29323,1
13931,1
44843,1
53523,1
20953,0
17069,1
44823,0
31442,0
1741,0
23384,1
50192,1
5290,0
13256,0
27522,0
52733,0
12176,1
2810,1
51172,0
54377,0
30544,0
18408,0
33773,0
30755,0
19374,1
28321,1
34216,1
31594,0
13308,1
44728,1
25314,1
4762,1
38742,0
34706,0
52404,1
43246,0
19051,1
16484,0
42902,0
46451,0
3285,0
48644,1
40296,1
30478,1
25983,0
53454,1
42515,0
25423,1
919,1
41183,0
29049,1
1047,1
11037,0
1729,0
8041,0
291,1
28839,1
24935,1
12986,0
30004,1
23992,1
54192,0
7076,0
43299,0
8725,1
31951,1
26859,0
36044,1
50680,1
52561,1
30924,1
25351,1
27155,1
7961,0
52114,0
27722,0
36030,1
35227,0
35173,0
10698,1
43103,0
6705,0
42861,0
2257,1
15933,1
12728,1
19332,1
14488,0
41405,1
8738,1
4005,1
47265,1
36612,1
12850,1
50402,1
37409,0
21667,1
17473,1
2263,1
30906,1
7689,1
807,1
13704,1
28751,0
30615,0
35939,1
1355,0
29890,1
54410,1
931,1
16017,0
47126,0
19241,1
20275,0
33141,1
16592,1
39405,1
11910,0
47981,0
31996,0
24682,1
53918,0
3509,1
54459,0
43592,1
46058,1
34797,0
37990,0
45328,0
35606,1
22067,1
31763,1
11523,0
16358,0
32999,1
46943,0
11292,0
10691,1
31456,0
23545,1
16979,1
1348,0
1823,1
19363,1
49747,1
7579,0
29363,0
25446,0
7291,1
24143,0
13380,1
51334,1
34177,1
45341,1
36975,1
40963,0
43262,1
40603,1
41005,1
490,1
4748,1
32292,1
22910,1
31023,1
45971,0
9239,1
39306,0
40512,0
29862,0
5737,0
5301,1
23406,0
30013,1
15233,0
36978,1
38187,0
19868,0
49493,1
6943,0
2399,0
38358,0
37593,1
37578,1
4123,0
17821,1
30264,1
11000,1
38295,0
24043,1
7463,1
50884,1
48482,1
32699,0
9062,1
8127,1
30433,0
30581,0
17754,0
24559,1
42649,1
34299,0
54431,0
54130,0
22407,1
18871,1
19383,1
31774,0
26001,0
3532,1
42545,1
22099,1
29654,1
46678,0
27524,1
7168,0
32928,0
50501,1
27912,0
29405,1
19022,0
22357,1
14665,0
26810,1
11323,1
14035,1
2407,1
16273,1
373,1
20162,1
8024,0
53761,1
4708,1
91,1
22043,1
14519,1
12417,1
25389,1
2000,0
50793,0
17175,0
18353,0
28297,0
6745,0
30174,1
14559,1
25102,1
17849,1
939,1
35134,0
24724,0
14539,0
49815,1
54122,1
34052,0
14352,1
7067,0
41683,0
17395,1
9659,0
4041,0
24307,1
32895,1
5911,0
48508,1
21753,1
50602,0
5883,1
38138,0
9948,1
39591,1
10430,0
44036,0
50156,1
42298,0
51927,0
49910,1
3195,1
9224,1
14496,0
23676,1
15135,1
22625,1
42372,0
49483,1
41805,0
52031,0
15127,0
5632,1
5382,1
39664,1
40910,1
5231,1
7086,1
17954,1
22900,0
12847,0
18734,1
39105,1
51882,0
20839,1
9406,1
22740,0
26423,0
21936,0
33344,0
16199,1
33476,1
3165,1
34760,1
28663,0
37056,0
29808,1
27677,0
796,0
34179,1
22042,0
3522,1
299,0
17405,0
7426,1
18968,1
46902,0
13320,1
25875,0
20668,0
1838,1
43649,0
41366,1
45735,1
54173,0
18296,0
7598,1
46265,0
38175,1
42118,0
54256,0
21825,1
51316,0
30345,1
7984,0
52294,0
50248,1
20516,0
40316,1
42125,0
35602,0
4873,1
28207,0
17322,1
3217,1
23884,0
2720,1
42706,0
6458,0
14076,1
28129,1
43780,0
48054,0
26484,0
39533,1
54158,1
29506,0
23455,0
29850,0
17764,1
13083,1
30300,0
43769,1
22969,1
37428,0
22398,1
51607,0
5663,0
29387,0
45176,0
4355,0
12342,0
52115,0
44927,1
771,0
28105,1
10416,0
22554,1
29900,1
5541,0
43357,1
12931,1
42926,0
16998,0
12186,1
1360,1
45221,1
19272,1
28300,0
11576,1
6011,1
18593,1
4684,1
34435,1
18628,1
39478,1
2259,0
27347,1
38518,0
51532,0
1042,1
49377,1
37185,0
30573,0
36430,0
793,1
52297,1
34008,0
53420,0
11697,1
7742,1
36215,1
27776,1
11426,0
50140,1
8864,1
9232,0
35466,1
14659,1
33070,0
37057,1
22927,1
32179,0
8777,0
41758,1
13724,0
12668,1
15733,0
45093,0
26346,1
6571,1
51414,0
25249,1
35816,1
1257,0
32225,0
3667,0
54312,0
41488,1
36272,0
50374,0
3630,1
39015,0
7530,0
36391,1
38393,1
1753,1
21023,0
43513,1
26672,1
209,1
3703,1
14884,0
30299,0
37713,1
50542,0
12259,0
14063,0
44316,0
360,1
9775,1
555,1
43733,0
11271,1
4228,0
44642,1
39286,0
29084,0
48456,0
12751,1
3144,1
17321,1
1945,1
31290,0
2496,0
29194,1
349,1
9041,1
51570,0
39434,0
27567,0
53445,1
22449,1
4586,1
21776,1
36670,1
25434,1
2017,1
54143,1
13503,1
671,1
20793,1
26060,0
36687,0
46813,1
22359,0
46177,0
38530,0
30143,1
861,0
29773,0
16588,1
22209,1
433,1
54460,1
11047,0
22597,0
27435,1
4497,0
37754,1
38301,1
33464,1
9509,1
34627,0
34012,0
50478,0
38590,0
1759,1
10978,0
48468,1
16256,0
26799,1
10181,0
13325,1
45070,1
9522,0
10843,1
18762,1
18808,1
8530,1
29759,0
29082,1
40459,0
51795,0
37723,1
19326,0
27852,1
39245,0
53645,0
29627,0
6186,0
18332,1
51468,1
10986,0
10032,1
15746,1
37729,0
18953,1
45909,0
6956,1
53260,0
37803,0
43568,0
23900,1
12124,0
32187,1
28499,1
40032,0
53127,0
16442,0
42735,1
10598,0
35962,0
49066,1
18292,0
48217,0
36346,0
53701,0
12081,0
17975,1
49542,1
4128,0
41479,1
12736,0
40648,0
2841,1
30513,1
33343,1
43837,0
50422,1
19481,0
20630,0
50239,1
37612,0
39852,1
47752,1
36693,1
12461,1
636,1
30882,1
3324,1
52111,0
9887,1
49440,1
5577,1
4433,1
34544,0
3239,1
42089,1
859,1
38228,0
15444,0
36615,1
36976,1
30086,1
31720,0
21415,1
47181,0
16129,1
49684,1
53536,0
17333,0
49733,1
48280,0
4098,0
14771,0
24804,0
41246,0
9499,1
6246,1
32004,0
53668,0
2595,1
19021,0
13903,1
24760,1
34281,1
4578,1
24981,1
17195,1
35065,1
41444,1
6046,0
651,1
37245,1
49649,1
53017,0
46548,0
3615,1
28283,0
48291,1
25029,0
37967,0
49727,1
16544,1
35111,1
21964,1
23565,1
34561,0
28062,0
32378,0
4891,1
23147,0
42141,0
27048,0
23787,1
17429,1
1263,1
47799,0
10012,1
727,1
30458,0
6666,1
34210,1
16369,0
11550,1
3606,1
54086,1
17766,1
4864,1
7165,1
13821,1
6280,1
36994,0
45714,0
31698,0
16611,1
30281,0
8645,1
31408,1
17398,0
42199,0
10892,1
43620,0
25791,0
32751,0
18149,0
28761,1
21093,1
1022,0
38698,0
41587,0
12114,1
7363,1
23866,0
16034,0
19297,1
53942,1
42114,1
35233,1
46214,1
7094,0
50822,0
9304,1
50645,1
3381,0
38113,0
23775,1
46741,0
37589,0
43722,1
48752,1
37573,0
16607,1
20904,0
21996,1
8949,1
53682,0
51223,0
28589,1
13429,0
45262,0
32762,0
25759,1
20872,0
52783,0
29054,1
5108,1
4113,0
2758,0
36207,1
44441,1
11460,1
18533,0
33261,1
38300,1
28154,0
42565,0
37722,1
4884,1
7035,1
19065,0
8110,1
2643,0
9617,1
43919,1
17339,1
16609,1
35146,1
11620,0
39020,1
49962,1
24636,0
32652,0
22014,0
11665,1
12252,1
13847,1
22800,0
33036,0
17626,0
3688,1
28526,0
8954,1
17001,0
34015,1
1943,0
11802,0
13819,1
35986,0
38652,0
7815,0
2306,1
51156,1
14184,0
33995,0
51214,0
13144,0
28903,1
18952,0
21892,0
31310,1
52533,0
9567,1
13537,1
8423,0
31114,1
17703,0
245,0
26125,1
47716,0
49349,1
899,1
16477,1
38212,0
36239,1
50286,1
43132,1
35824,0
34051,0
19741,1
15918,1
33079,0
12836,0
33853,1
24496,1
39907,1
33635,0
1228,1
8713,1
39987,1
11396,1
40343,1
53436,1
6084,1
13269,0
33970,0
35917,0
22924,0
11721,0
32016,0
40832,0
49162,0
10487,1
39993,1
22568,0
35641,0
28747,1
53566,0
48936,1
9724,1
20250,0
15190,1
54107,1
36700,0
43344,1
53216,1
53636,1
4940,1
35299,1
15413,1
27944,0
2273,1
26459,0
41987,0
32180,0
625,0
36388,1
8400,0
52542,0
11719,1
54149,1
34088,1
52494,0
9490,1
14964,1
45736,0
3786,1
37458,0
7158,1
30523,0
39430,1
322,1
37149,1
44719,0
31345,1
22814,1
50398,0
21311,0
34420,1
32240,1
28198,0
38619,1
34945,1
46686,1
12101,0
28487,1
53275,1
29404,0
14095,1
29137,0
1686,1
41475,0
13738,1
10902,1
21013,1
31659,0
18627,1
39081,1
47052,0
10463,0
2461,0
28909,1
16504,0
10808,1
26905,1
42487,1
27834,1
16725,1
33227,0
20687,1
23410,1
2490,0
45059,0
40889,0
47677,0
40204,0
17194,1
39949,0
10970,1
47141,0
28496,0
3213,1
17649,0
39905,0
13851,1
32503,0
14475,0
11746,1
2543,1
29435,0
54626,0
21588,0
1626,1
18085,0
46606,1
8565,1
43563,0
26010,1
33385,1
32236,0
10682,1
34630,1
43004,0
38508,1
8557,1
30383,1
29542,1
32011,0
53619,1
37338,1
47041,0
1321,1
36918,0
48540,1
18211,0
41585,1
78,0
7475,0
32256,0
52861,0
54455,0
26040,1
17303,1
33581,1
15420,0
41151,0
14629,1
51669,0
52495,0
43574,1
32881,0
46752,1
39119,1
51920,0
28816,0
49959,0
34063,1
40645,0
635,1
29357,0
12973,1
12789,0
28081,1
9866,1
16615,1
19271,1
6853,0
42385,1
24182,0
43871,1
43571,0
45462,0
7597,0
19410,0
20204,0
32000,0
24576,0
49872,1
36146,1
41025,1
644,0
46078,1
25402,1
28637,0
53317,0
12649,0
53613,1
52765,1
27989,1
27190,0
13822,0
42882,1
827,0
3709,0
5821,1
14657,1
8325,1
16688,0
27857,0
45379,1
37923,1
24723,0
35520,1
5483,1
41116,0
40693,1
1140,0
170,0
38457,1
13719,0
26872,1
39567,1
7835,1
13986,0
18139,1
1953,1
5328,1
21150,1
15627,1
25628,0
19054,0
41938,0
46036,1
13150,1
17786,0
34493,1
24641,1
8072,0
14805,1
46201,0
39274,0
38706,0
42860,1
2514,1
49726,1
42814,0
41197,0
54114,0
10267,1
43726,1
8517,0
48546,0
13838,1
47861,1
41852,1
34196,1
27988,0
51275,1
3567,1
5124,0
52695,1
26512,0
36472,0
6367,0
4014,1
54307,0
12274,1
12922,0
5146,1
19327,0
14031,1
22384,1
22430,1
36984,0
41825,0
12499,0
1131,0
32332,0
36844,0
51379,0
50058,0
53437,0
21926,0
26508,0
25956,1
33660,1
36996,0
39261,0
3407,1
16337,0
17945,0
229,1
28840,0
33680,1
4009,1
49522,1
44018,1
32855,0
40838,0
24927,0
52343,0
48768,1
45034,1
24346,1
35180,0
8653,1
6356,0
25826,1
32230,1
52069,0
44417,0
50100,0
45904,1
25054,1
28126,1
47334,1
12459,1
41608,0
15556,1
19320,1
39184,0
20335,0
50594,1
45404,1
26213,1
49006,0
19303,1
43035,0
3063,1
53319,0
36485,0
11961,1
44088,1
4379,1
38487,1
41176,0
42827,0
7912,1
22232,0
23646,1
35539,0
46102,1
46532,1
21290,0
22058,0
37163,1
41362,0
6276,1
9760,1
16394,0
25716,1
31713,0
54578,0
10007,1
43075,0
48620,1
45945,1
6782,1
31618,1
7303,1
1001,0
40040,0
28178,1
37021,1
26506,1
47402,1
10506,1
18717,1
40936,0
12683,1
42209,1
35422,1
34386,1
17532,1
22823,0
30944,0
44985,1
16949,0
52650,0
44717,0
24096,0
11068,1
11748,0
50730,1
44974,1
45616,1
9250,1
46973,1
20913,0
44183,0
24051,0
19598,0
2096,1
43465,0
41894,0
17365,1
31481,0
22153,1
29827,0
37012,1
3311,1
41784,1
32281,1
9916,1
41242,0
3326,0
40220,0
3636,0
32513,0
48056,1
13301,0
35047,1
29656,0
28430,1
53888,1
33828,1
16376,0
3349,1
51994,1
25781,1
5218,0
35347,1
14228,0
9808,1
39709,1
28973,0
40691,0
3015,0
22805,1
36228,1
8107,0
12607,1
9142,0
52857,1
9348,0
35051,1
45893,0
485,1
5335,1
4980,1
54369,0
6653,0
8133,0
21003,1
3969,0
43193,1
4629,0
44077,1
49442,1
23367,0
25311,0
17636,1
33431,0
10019,1
34365,1
12000,1
18105,0
52704,0
43540,0
26824,0
38339,1
45720,0
40253,1
43484,0
23151,1
28402,0
42581,0
37942,0
7332,1
2233,1
37152,1
19033,0
29753,0
45004,1
24481,1
25451,0
11208,1
9133,0
3869,1
17790,0
43961,1
24953,0
27045,0
47214,0
52737,1
27831,1
20415,0
27467,1
42368,0
1950,0
42608,0
12139,1
4919,1
11889,1
49140,1
33538,0
20511,1
40756,0
39774,1
49799,0
33095,0
29459,0
6475,1
44797,1
17139,1
32267,0
43551,0
8968,1
37178,0
54394,1
45636,0
46663,1
54416,1
22994,1
48757,0
54444,0
4704,1
20743,1
53311,0
5770,1
13275,0
35306,1
4295,1
5266,1
4236,1
50785,0
35481,1
36826,0
37554,1
48070,1
9754,0
26712,1
53772,0
8288,1
44645,0
49732,1
41400,1
28966,0
16752,1
34868,0
50506,0
3119,1
37,1
10930,0
54424,0
40165,0
5143,0
39901,1
8049,1
564,0
22859,1
28655,1
4886,1
25044,0
50481,0
37269,1
46655,1
43073,0
47616,1
47550,1
26037,0
51253,0
35830,1
1164,1
14876,1
36247,0
39439,1
16506,0
32729,0
8172,1
15214,0
54290,0
3432,1
20497,0
9465,1
51109,0
11870,1
44466,1
34979,0
36236,1
23946,1
42910,0
54040,0
50067,1
44988,0
31264,1
16870,0
52544,1
49475,1
6926,1
42528,1
4661,1
3080,1
46206,1
35833,0
47739,1
15272,0
6911,1
51614,1
22663,0
34294,0
8403,1
9961,1
15782,1
24012,1
3073,1
712,1
41213,0
34119,0
20843,1
37274,1
34267,0
24802,0
45577,1
13631,1
46387,1
34850,0
32326,0
45943,1
19264,1
4085,1
1053,1
9474,1
21081,0
15922,0
11861,1
50725,0
35062,0
49480,0
17053,1
50194,1
42010,1
53166,1
5418,1
39811,1
42532,1
39491,0
30204,0
17980,0
29128,1
45879,1
6414,1
42122,0
32013,0
23415,0
35994,0
54267,1
768,1
26751,1
26639,0
41009,1
15598,0
27679,1
10811,1
7216,1
50376,1
48586,0
44273,1
7531,1
42165,0
23408,0
43478,0
45440,0
54005,0
7627,0
22510,0
38820,1
3333,1
21701,0
3736,0
30669,0
52473,1
42299,1
33558,1
49566,1
39937,0
6707,0
32066,0
17607,1
8936,1
18693,0
23821,1
27356,1
40958,0
35675,0
4259,0
37135,1
